Date,Station,Line,Direction,Hour,Additional_Trips,Passenger_Demand,Current_Trips,Capacity_Per_Trip
2024-09-06,Bostancı,M4,Tavşantepe to Kadıköy,17,4,1123,8,100.0
2024-09-06,Bostancı,M4,Tavşantepe to Kadıköy,18,5,1396,9,100.0
2024-09-06,Dudullu,M5,Samandıra Merkez to Üsküdar,7,4,954,6,100.0
2024-09-06,Dudullu,M5,Samandıra Merkez to Üsküdar,8,9,1393,5,100.0
2024-09-06,Dudullu,M5,Samandıra Merkez to Üsküdar,9,1,841,8,100.0
2024-09-06,Dudullu,M5,Samandıra Merkez to Üsküdar,16,4,1106,8,100.0
2024-09-06,Dudullu,M5,Samandıra Merkez to Üsküdar,17,12,1933,8,100.0
2024-09-06,Dudullu,M5,Samandıra Merkez to Üsküdar,18,24,3217,9,100.0
2024-09-06,Dudullu,M5,Üsküdar to Samandıra Merkez,8,2,1393,5,199.9
2024-09-06,Dudullu,M5,Üsküdar to Samandıra Merkez,17,2,1933,8,199.9
2024-09-06,Dudullu,M5,Üsküdar to Samandıra Merkez,18,8,3217,9,199.9
2024-09-06,Dudullu,M8,Bostancı to Parseller,7,8,1486,6,111.1
2024-09-06,Dudullu,M8,Bostancı to Parseller,8,15,2158,5,111.1
2024-09-06,Dudullu,M8,Bostancı to Parseller,17,2,1046,8,111.1
2024-09-06,Dudullu,M8,Bostancı to Parseller,18,3,1235,9,111.1
2024-09-06,Dudullu,M8,Parseller to Bostancı,7,9,1486,6,100.0
2024-09-06,Dudullu,M8,Parseller to Bostancı,8,17,2158,5,100.0
2024-09-06,Dudullu,M8,Parseller to Bostancı,9,1,887,8,100.0
2024-09-06,Dudullu,M8,Parseller to Bostancı,17,3,1046,8,100.0
2024-09-06,Dudullu,M8,Parseller to Bostancı,18,4,1235,9,100.0
2024-09-06,Gayrettepe,M2,Hacıosman to Yenikapı,7,12,1706,6,100.0
2024-09-06,Gayrettepe,M2,Hacıosman to Yenikapı,8,27,3264,6,100.0
2024-09-06,Gayrettepe,M2,Hacıosman to Yenikapı,9,12,1718,6,100.0
2024-09-06,Gayrettepe,M2,Hacıosman to Yenikapı,16,9,1724,9,100.0
2024-09-06,Gayrettepe,M2,Hacıosman to Yenikapı,17,18,2693,9,100.0
2024-09-06,Gayrettepe,M2,Hacıosman to Yenikapı,18,25,3365,9,100.0
2024-09-06,Gayrettepe,M2,Yenikapı to Hacıosman,7,12,1706,6,100.0
2024-09-06,Gayrettepe,M2,Yenikapı to Hacıosman,8,27,3264,6,100.0
2024-09-06,Gayrettepe,M2,Yenikapı to Hacıosman,9,12,1718,6,100.0
2024-09-06,Gayrettepe,M2,Yenikapı to Hacıosman,16,9,1724,9,100.0
2024-09-06,Gayrettepe,M2,Yenikapı to Hacıosman,17,18,2693,9,100.0
2024-09-06,Gayrettepe,M2,Yenikapı to Hacıosman,18,25,3365,9,100.0
2024-09-06,Kozyatağı,M4,Kadıköy to Tavşantepe,7,8,1314,6,100.0
2024-09-06,Kozyatağı,M4,Kadıköy to Tavşantepe,8,12,1696,5,100.0
2024-09-06,Kozyatağı,M4,Kadıköy to Tavşantepe,9,2,1000,8,100.0
2024-09-06,Kozyatağı,M4,Kadıköy to Tavşantepe,16,6,1320,8,100.0
2024-09-06,Kozyatağı,M4,Kadıköy to Tavşantepe,17,15,2215,8,100.0
2024-09-06,Kozyatağı,M4,Kadıköy to Tavşantepe,18,22,3011,9,100.0
2024-09-06,Kozyatağı,M4,Tavşantepe to Kadıköy,7,8,1314,6,100.0
2024-09-06,Kozyatağı,M4,Tavşantepe to Kadıköy,8,12,1696,5,100.0
2024-09-06,Kozyatağı,M4,Tavşantepe to Kadıköy,9,2,1000,8,100.0
2024-09-06,Kozyatağı,M4,Tavşantepe to Kadıköy,16,6,1320,8,100.0
2024-09-06,Kozyatağı,M4,Tavşantepe to Kadıköy,17,15,2215,8,100.0
2024-09-06,Kozyatağı,M4,Tavşantepe to Kadıköy,18,22,3011,9,100.0
2024-09-06,Kozyatağı,M8,Bostancı to Parseller,8,4,857,5,106.0
2024-09-06,Kozyatağı,M8,Bostancı to Parseller,17,5,1291,8,106.0
2024-09-06,Kozyatağı,M8,Bostancı to Parseller,18,8,1705,9,106.0
2024-09-06,Kozyatağı,M8,Parseller to Bostancı,8,4,857,5,106.0
2024-09-06,Kozyatağı,M8,Parseller to Bostancı,17,5,1291,8,106.0
2024-09-06,Kozyatağı,M8,Parseller to Bostancı,18,8,1705,9,106.0
2024-09-06,Levent,M2,Hacıosman to Yenikapı,7,12,2937,6,172.0
2024-09-06,Levent,M2,Hacıosman to Yenikapı,8,19,4205,6,172.0
2024-09-06,Levent,M2,Hacıosman to Yenikapı,9,10,2589,6,172.0
2024-09-06,Levent,M2,Hacıosman to Yenikapı,16,13,3729,9,172.0
2024-09-06,Levent,M2,Hacıosman to Yenikapı,17,26,5965,9,172.0
2024-09-06,Levent,M2,Hacıosman to Yenikapı,18,33,7196,9,172.0
2024-09-06,Levent,M2,Yenikapı to Hacıosman,7,24,2937,6,100.0
2024-09-06,Levent,M2,Yenikapı to Hacıosman,8,37,4205,6,100.0
2024-09-06,Levent,M2,Yenikapı to Hacıosman,9,20,2589,6,100.0
2024-09-06,Levent,M2,Yenikapı to Hacıosman,16,29,3729,9,100.0
2024-09-06,Levent,M2,Yenikapı to Hacıosman,17,51,5965,9,100.0
2024-09-06,Levent,M2,Yenikapı to Hacıosman,18,63,7196,9,100.0
2024-09-06,Mahmutbey,M3,Bakırköy Sahil to Kayaşehir Merkez,7,2,2672,6,340.0
2024-09-06,Mahmutbey,M3,Bakırköy Sahil to Kayaşehir Merkez,8,3,2468,5,340.0
2024-09-06,Mahmutbey,M3,Kayaşehir Merkez to Bakırköy Sahil,7,21,2672,6,100.0
2024-09-06,Mahmutbey,M3,Kayaşehir Merkez to Bakırköy Sahil,8,20,2468,5,100.0
2024-09-06,Mahmutbey,M3,Kayaşehir Merkez to Bakırköy Sahil,9,4,1159,8,100.0
2024-09-06,Mahmutbey,M3,Kayaşehir Merkez to Bakırköy Sahil,16,2,967,8,100.0
2024-09-06,Mahmutbey,M3,Kayaşehir Merkez to Bakırköy Sahil,17,7,1408,8,100.0
2024-09-06,Mahmutbey,M3,Kayaşehir Merkez to Bakırköy Sahil,18,13,2200,9,100.0
2024-09-06,Mahmutbey,M7,Mahmutbey to Yıldız,7,1,2132,6,340.0
2024-09-06,Mahmutbey,M7,Mahmutbey to Yıldız,8,2,2142,5,340.0
2024-09-06,Mahmutbey,M7,Yıldız to Mahmutbey,7,1,2132,6,340.0
2024-09-06,Mahmutbey,M7,Yıldız to Mahmutbey,8,2,2142,5,340.0
