station_poi_desc_cd,line_name,transition_date,number_of_passenger
Göztepe,M7,2024-09-07,6475
Göztepe,M7,2024-09-08,4665
Göztepe,M7,2024-09-09,6642
Gülsuyu,M4,2024-09-01,2198
Gülsuyu,M4,2024-09-04,4763
Gülsuyu,M4,2024-09-05,4780
Gülsuyu,M4,2024-09-06,4845
Gülsuyu,M4,2024-09-07,3292
Gülsuyu,M4,2024-09-08,2334
Gülsuyu,M4,2024-09-09,3695
HAVAALANI,M1,2024-09-01,246
HAVAALANI,M1,2024-09-04,886
HAVAALANI,M1,2024-09-05,881
HAVAALANI,M1,2024-09-06,841
HAVAALANI,M1,2024-09-07,416
HAVAALANI,M1,2024-09-08,248
HAVAALANI,M1,2024-09-09,413
Hacıosman,M2,2024-09-01,7308
Hacıosman,M2,2024-09-04,13699
Hacıosman,M2,2024-09-05,14102
Hacıosman,M2,2024-09-06,14444
Hacıosman,M2,2024-09-07,11991
Hacıosman,M2,2024-09-08,7904
Hacıosman,M2,2024-09-09,10202
Haliç,M2,2024-09-01,7457
Haliç,M2,2024-09-02,1
Haliç,M2,2024-09-03,1
Haliç,M2,2024-09-04,11131
Haliç,M2,2024-09-05,11102
Haliç,M2,2024-09-06,11600
Haliç,M2,2024-09-07,11455
Haliç,M2,2024-09-08,7840
Haliç,M2,2024-09-09,4544
Halkalı,M9,2024-09-01,1049
Halkalı,M9,2024-09-04,1853
Halkalı,M9,2024-09-05,1978
Halkalı,M9,2024-09-06,1967
Halkalı,M9,2024-09-07,1557
Halkalı,M9,2024-09-08,1173
Halkalı,M9,2024-09-09,1631
Hastane-Adliye,M4,2024-09-01,3083
Hastane-Adliye,M4,2024-09-04,11056
Hastane-Adliye,M4,2024-09-05,10893
Hastane-Adliye,M4,2024-09-06,11070
Hastane-Adliye,M4,2024-09-07,3893
Hastane-Adliye,M4,2024-09-08,3211
Hastane-Adliye,M4,2024-09-09,7667
Haznedar,M3,2024-09-01,1405
Haznedar,M3,2024-09-04,2706
Haznedar,M3,2024-09-05,2774
Haznedar,M3,2024-09-06,2785
Haznedar,M3,2024-09-07,2365
Haznedar,M3,2024-09-08,1368
Haznedar,M3,2024-09-09,2028
Huzur,M8,2024-09-01,1082
Huzur,M8,2024-09-04,2175
Huzur,M8,2024-09-05,2176
Huzur,M8,2024-09-06,2246
Huzur,M8,2024-09-07,1737
Huzur,M8,2024-09-08,1185
Huzur,M8,2024-09-09,2207
Huzurevi,M4,2024-09-01,4204
Huzurevi,M4,2024-09-04,7866
Huzurevi,M4,2024-09-05,7987
Huzurevi,M4,2024-09-06,7991
Huzurevi,M4,2024-09-07,5932
Huzurevi,M4,2024-09-08,4493
Huzurevi,M4,2024-09-09,6405
IDTM,M1,2024-09-01,504
IDTM,M1,2024-09-04,3720
IDTM,M1,2024-09-05,3761
IDTM,M1,2024-09-06,3481
IDTM,M1,2024-09-07,1493
IDTM,M1,2024-09-08,633
IDTM,M1,2024-09-09,678
Ihlamurkuyu,M5,2024-09-01,4134
