Line,transition_hour,Number_of_Trips,Direction,Day_Type,Peak_Hour_Indicator
M5,8,5,Samandıra Merkez to Üsküdar,Weekday,Yes
M5,9,8,Üsküdar to Samandıra Merkez,Weekday,Yes
M5,9,8,Samandıra Merkez to Üsküdar,Weekday,Yes
M5,10,8,Üsküdar to Samandıra Merkez,Weekday,No
M5,10,8,Samandıra Merkez to Üsküdar,Weekday,No
M5,11,8,Üsküdar to Samandıra Merkez,Weekday,No
M5,11,8,Samandıra Merkez to Üsküdar,Weekday,No
M5,12,8,Üsküdar to Samandıra Merkez,Weekday,No
M5,12,8,Samandıra Merkez to Üsküdar,Weekday,No
M5,13,8,Üsküdar to Samandıra Merkez,Weekday,No
M5,13,8,Samandıra Merkez to Üsküdar,Weekday,No
M5,14,8,Üsküdar to Samandıra Merkez,Weekday,No
M5,14,8,Samandıra Merkez to Üsküdar,Weekday,No
M5,15,8,Üsküdar to Samandıra Merkez,Weekday,No
M5,15,8,Samandıra Merkez to Üsküdar,Weekday,No
M5,16,8,Üsküdar to Samandıra Merkez,Weekday,Yes
M5,16,8,Samandıra Merkez to Üsküdar,Weekday,Yes
M5,17,8,Üsküdar to Samandıra Merkez,Weekday,Yes
M5,17,8,Samandıra Merkez to Üsküdar,Weekday,Yes
M5,18,9,Üsküdar to Samandıra Merkez,Weekday,Yes
M5,18,9,Samandıra Merkez to Üsküdar,Weekday,Yes
M5,19,9,Üsküdar to Samandıra Merkez,Weekday,No
M5,19,9,Samandıra Merkez to Üsküdar,Weekday,No
M5,20,6,Üsküdar to Samandıra Merkez,Weekday,No
M5,20,6,Samandıra Merkez to Üsküdar,Weekday,No
M5,21,7,Üsküdar to Samandıra Merkez,Weekday,No
M5,21,7,Samandıra Merkez to Üsküdar,Weekday,No
M5,22,6,Üsküdar to Samandıra Merkez,Weekday,No
M5,22,6,Samandıra Merkez to Üsküdar,Weekday,No
M5,23,5,Üsküdar to Samandıra Merkez,Weekday,No
M5,23,5,Samandıra Merkez to Üsküdar,Weekday,No
M6,0,2,Boğaziçi Üniversitesi – Hisarüstü to Levent,Weekday,No
M6,0,2,Levent to Boğaziçi Üniversitesi – Hisarüstü,Weekday,No
M6,1,2,Boğaziçi Üniversitesi – Hisarüstü to Levent,Weekday,No
M6,1,2,Levent to Boğaziçi Üniversitesi – Hisarüstü,Weekday,No
M6,2,2,Boğaziçi Üniversitesi – Hisarüstü to Levent,Weekday,No
M6,2,2,Levent to Boğaziçi Üniversitesi – Hisarüstü,Weekday,No
M6,3,2,Boğaziçi Üniversitesi – Hisarüstü to Levent,Weekday,No
M6,3,2,Levent to Boğaziçi Üniversitesi – Hisarüstü,Weekday,No
M6,4,2,Boğaziçi Üniversitesi – Hisarüstü to Levent,Weekday,No
M6,4,2,Levent to Boğaziçi Üniversitesi – Hisarüstü,Weekday,No
M6,5,2,Boğaziçi Üniversitesi – Hisarüstü to Levent,Weekday,No
M6,5,2,Levent to Boğaziçi Üniversitesi – Hisarüstü,Weekday,No
M6,6,6,Boğaziçi Üniversitesi – Hisarüstü to Levent,Weekday,No
M6,6,6,Levent to Boğaziçi Üniversitesi – Hisarüstü,Weekday,No
M6,7,6,Boğaziçi Üniversitesi – Hisarüstü to Levent,Weekday,Yes
M6,7,6,Levent to Boğaziçi Üniversitesi – Hisarüstü,Weekday,Yes
M6,8,5,Boğaziçi Üniversitesi – Hisarüstü to Levent,Weekday,Yes
M6,8,5,Levent to Boğaziçi Üniversitesi – Hisarüstü,Weekday,Yes
M6,9,8,Boğaziçi Üniversitesi – Hisarüstü to Levent,Weekday,Yes
M6,9,8,Levent to Boğaziçi Üniversitesi – Hisarüstü,Weekday,Yes
M6,10,8,Boğaziçi Üniversitesi – Hisarüstü to Levent,Weekday,No
