station_poi_desc_cd,line_name,transition_date,transition_hour,number_of_passenger
ACIBADEM,M4,2024-09-04,12,220
ACIBADEM,M4,2024-09-04,13,218
ACIBADEM,M4,2024-09-04,14,264
ACIBADEM,M4,2024-09-04,15,266
ACIBADEM,M4,2024-09-04,16,429
ACIBADEM,M4,2024-09-04,17,586
ACIBADEM,M4,2024-09-04,18,554
ACIBADEM,M4,2024-09-04,19,305
ACIBADEM,M4,2024-09-04,20,165
ACIBADEM,M4,2024-09-04,21,113
ACIBADEM,M4,2024-09-04,22,83
ACIBADEM,M4,2024-09-04,23,49
ACIBADEM,M4,2024-09-05,0,2
ACIBADEM,M4,2024-09-05,5,12
ACIBADEM,M4,2024-09-05,6,105
ACIBADEM,M4,2024-09-05,7,282
ACIBADEM,M4,2024-09-05,8,405
ACIBADEM,M4,2024-09-05,9,230
ACIBADEM,M4,2024-09-05,10,202
ACIBADEM,M4,2024-09-05,11,192
ACIBADEM,M4,2024-09-05,12,206
ACIBADEM,M4,2024-09-05,13,244
ACIBADEM,M4,2024-09-05,14,308
ACIBADEM,M4,2024-09-05,15,288
ACIBADEM,M4,2024-09-05,16,417
ACIBADEM,M4,2024-09-05,17,550
ACIBADEM,M4,2024-09-05,18,578
ACIBADEM,M4,2024-09-05,19,306
ACIBADEM,M4,2024-09-05,20,174
ACIBADEM,M4,2024-09-05,21,110
ACIBADEM,M4,2024-09-05,22,73
ACIBADEM,M4,2024-09-05,23,66
ACIBADEM,M4,2024-09-06,0,2
ACIBADEM,M4,2024-09-06,5,12
ACIBADEM,M4,2024-09-06,6,95
ACIBADEM,M4,2024-09-06,7,294
ACIBADEM,M4,2024-09-06,8,366
ACIBADEM,M4,2024-09-06,9,255
ACIBADEM,M4,2024-09-06,10,197
ACIBADEM,M4,2024-09-06,11,205
ACIBADEM,M4,2024-09-06,12,218
ACIBADEM,M4,2024-09-06,13,243
ACIBADEM,M4,2024-09-06,14,284
ACIBADEM,M4,2024-09-06,15,335
ACIBADEM,M4,2024-09-06,16,496
ACIBADEM,M4,2024-09-06,17,637
ACIBADEM,M4,2024-09-06,18,612
ACIBADEM,M4,2024-09-06,19,295
ACIBADEM,M4,2024-09-06,20,199
ACIBADEM,M4,2024-09-06,21,142
ACIBADEM,M4,2024-09-06,22,74
ACIBADEM,M4,2024-09-06,23,51
ACIBADEM,M4,2024-09-07,0,24
ACIBADEM,M4,2024-09-07,1,9
ACIBADEM,M4,2024-09-07,2,10
ACIBADEM,M4,2024-09-07,3,8
ACIBADEM,M4,2024-09-07,5,12
ACIBADEM,M4,2024-09-07,6,56
ACIBADEM,M4,2024-09-07,7,115
ACIBADEM,M4,2024-09-07,8,147
ACIBADEM,M4,2024-09-07,9,131
ACIBADEM,M4,2024-09-07,10,138
ACIBADEM,M4,2024-09-07,11,161
ACIBADEM,M4,2024-09-07,12,273
ACIBADEM,M4,2024-09-07,13,288
ACIBADEM,M4,2024-09-07,14,327
ACIBADEM,M4,2024-09-07,15,278
ACIBADEM,M4,2024-09-07,16,297
ACIBADEM,M4,2024-09-07,17,308
ACIBADEM,M4,2024-09-07,18,306
ACIBADEM,M4,2024-09-07,19,254
ACIBADEM,M4,2024-09-07,20,162
ACIBADEM,M4,2024-09-07,21,133
ACIBADEM,M4,2024-09-07,22,94
ACIBADEM,M4,2024-09-07,23,37
ACIBADEM,M4,2024-09-08,0,21
ACIBADEM,M4,2024-09-08,1,11
ACIBADEM,M4,2024-09-08,2,10
ACIBADEM,M4,2024-09-08,3,7
ACIBADEM,M4,2024-09-08,4,3
ACIBADEM,M4,2024-09-08,5,12
ACIBADEM,M4,2024-09-08,6,37
ACIBADEM,M4,2024-09-08,7,59
ACIBADEM,M4,2024-09-08,8,70
ACIBADEM,M4,2024-09-08,9,84
ACIBADEM,M4,2024-09-08,10,86
ACIBADEM,M4,2024-09-08,11,106
ACIBADEM,M4,2024-09-08,12,152
ACIBADEM,M4,2024-09-08,13,180
ACIBADEM,M4,2024-09-08,14,220
ACIBADEM,M4,2024-09-08,15,182
ACIBADEM,M4,2024-09-08,16,194
ACIBADEM,M4,2024-09-08,17,210
ACIBADEM,M4,2024-09-08,18,195
ACIBADEM,M4,2024-09-08,19,133
ACIBADEM,M4,2024-09-08,20,96
ACIBADEM,M4,2024-09-08,21,98
ACIBADEM,M4,2024-09-08,22,70
ACIBADEM,M4,2024-09-08,23,47
ACIBADEM,M4,2024-09-09,0,2
ACIBADEM,M4,2024-09-09,5,15
ACIBADEM,M4,2024-09-09,6,118
ACIBADEM,M4,2024-09-09,7,364
ACIBADEM,M4,2024-09-09,8,552
ACIBADEM,M4,2024-09-09,9,339
ACIBADEM,M4,2024-09-09,10,246
ACIBADEM,M4,2024-09-09,11,191
ACIBADEM,M4,2024-09-09,12,215
ACIBADEM,M4,2024-09-09,13,198
ACIBADEM,M4,2024-09-09,14,272
ACIBADEM,M4,2024-09-09,15,525
ALTINSEHIR,M5,2024-09-01,0,30
ALTINSEHIR,M5,2024-09-01,1,6
ALTINSEHIR,M5,2024-09-01,2,8
ALTINSEHIR,M5,2024-09-01,3,1
ALTINSEHIR,M5,2024-09-01,5,17
ALTINSEHIR,M5,2024-09-01,6,73
ALTINSEHIR,M5,2024-09-01,7,131
ALTINSEHIR,M5,2024-09-01,8,180
ALTINSEHIR,M5,2024-09-01,9,234
ALTINSEHIR,M5,2024-09-01,10,147
ALTINSEHIR,M5,2024-09-01,11,174
ALTINSEHIR,M5,2024-09-01,12,382
ALTINSEHIR,M5,2024-09-01,13,417
ALTINSEHIR,M5,2024-09-01,14,387
ALTINSEHIR,M5,2024-09-01,15,373
ALTINSEHIR,M5,2024-09-01,16,346
ALTINSEHIR,M5,2024-09-01,17,297
ALTINSEHIR,M5,2024-09-01,18,323
ALTINSEHIR,M5,2024-09-01,19,281
ALTINSEHIR,M5,2024-09-01,20,197
ALTINSEHIR,M5,2024-09-01,21,120
ALTINSEHIR,M5,2024-09-01,22,73
ALTINSEHIR,M5,2024-09-01,23,57
ALTINSEHIR,M5,2024-09-02,0,1
ALTINSEHIR,M5,2024-09-04,0,7
ALTINSEHIR,M5,2024-09-04,5,36
ALTINSEHIR,M5,2024-09-04,6,293
ALTINSEHIR,M5,2024-09-04,7,862
ALTINSEHIR,M5,2024-09-04,8,873
ALTINSEHIR,M5,2024-09-04,9,489
ALTINSEHIR,M5,2024-09-04,10,355
ALTINSEHIR,M5,2024-09-04,11,303
ALTINSEHIR,M5,2024-09-04,12,367
ALTINSEHIR,M5,2024-09-04,13,434
ALTINSEHIR,M5,2024-09-04,14,383
ALTINSEHIR,M5,2024-09-04,15,366
ALTINSEHIR,M5,2024-09-04,16,342
ALTINSEHIR,M5,2024-09-04,17,438
ALTINSEHIR,M5,2024-09-04,18,606
ALTINSEHIR,M5,2024-09-04,19,486
ALTINSEHIR,M5,2024-09-04,20,227
ALTINSEHIR,M5,2024-09-04,21,127
ALTINSEHIR,M5,2024-09-04,22,99
ALTINSEHIR,M5,2024-09-04,23,49
ALTINSEHIR,M5,2024-09-05,0,2
ALTINSEHIR,M5,2024-09-05,5,42
ALTINSEHIR,M5,2024-09-05,6,263
ALTINSEHIR,M5,2024-09-05,7,843
ALTINSEHIR,M5,2024-09-05,8,879
ALTINSEHIR,M5,2024-09-05,9,476
ALTINSEHIR,M5,2024-09-05,10,321
ALTINSEHIR,M5,2024-09-05,11,330
ALTINSEHIR,M5,2024-09-05,12,441
ALTINSEHIR,M5,2024-09-05,13,416
ALTINSEHIR,M5,2024-09-05,14,386
ALTINSEHIR,M5,2024-09-05,15,352
ALTINSEHIR,M5,2024-09-05,16,377
ALTINSEHIR,M5,2024-09-05,17,450
ALTINSEHIR,M5,2024-09-05,18,654
ALTINSEHIR,M5,2024-09-05,19,443
ALTINSEHIR,M5,2024-09-05,20,169
ALTINSEHIR,M5,2024-09-05,21,112
ALTINSEHIR,M5,2024-09-05,22,107
ALTINSEHIR,M5,2024-09-05,23,67
ALTINSEHIR,M5,2024-09-06,0,2
ALTINSEHIR,M5,2024-09-06,5,33
ALTINSEHIR,M5,2024-09-06,6,264
ALTINSEHIR,M5,2024-09-06,7,791
ALTINSEHIR,M5,2024-09-06,8,870
ALTINSEHIR,M5,2024-09-06,9,509
ALTINSEHIR,M5,2024-09-06,10,360
ALTINSEHIR,M5,2024-09-06,11,353
ALTINSEHIR,M5,2024-09-06,12,385
ALTINSEHIR,M5,2024-09-06,13,429
ALTINSEHIR,M5,2024-09-06,14,480
ALTINSEHIR,M5,2024-09-06,15,358
ALTINSEHIR,M5,2024-09-06,16,375
ALTINSEHIR,M5,2024-09-06,17,507
ALTINSEHIR,M5,2024-09-06,18,601
ALTINSEHIR,M5,2024-09-06,19,462
ALTINSEHIR,M5,2024-09-06,20,210
ALTINSEHIR,M5,2024-09-06,21,118
ALTINSEHIR,M5,2024-09-06,22,93
ALTINSEHIR,M5,2024-09-06,23,60
ALTINSEHIR,M5,2024-09-07,0,22
ALTINSEHIR,M5,2024-09-07,1,10
ALTINSEHIR,M5,2024-09-07,2,1
ALTINSEHIR,M5,2024-09-07,3,6
ALTINSEHIR,M5,2024-09-07,4,1
ALTINSEHIR,M5,2024-09-07,5,27
ALTINSEHIR,M5,2024-09-07,6,148
ALTINSEHIR,M5,2024-09-07,7,373
ALTINSEHIR,M5,2024-09-07,8,447
ALTINSEHIR,M5,2024-09-07,9,356
ALTINSEHIR,M5,2024-09-07,10,293
ALTINSEHIR,M5,2024-09-07,11,311
ALTINSEHIR,M5,2024-09-07,12,454
ALTINSEHIR,M5,2024-09-07,13,537
ALTINSEHIR,M5,2024-09-07,14,541
ALTINSEHIR,M5,2024-09-07,15,460
ALTINSEHIR,M5,2024-09-07,16,411
ALTINSEHIR,M5,2024-09-07,17,476
ALTINSEHIR,M5,2024-09-07,18,394
ALTINSEHIR,M5,2024-09-07,19,303
ALTINSEHIR,M5,2024-09-07,20,214
ALTINSEHIR,M5,2024-09-07,21,152
ALTINSEHIR,M5,2024-09-07,22,114
ALTINSEHIR,M5,2024-09-07,23,67
ALTINSEHIR,M5,2024-09-08,0,15
ALTINSEHIR,M5,2024-09-08,1,5
ALTINSEHIR,M5,2024-09-08,2,3
ALTINSEHIR,M5,2024-09-08,3,4
ALTINSEHIR,M5,2024-09-08,4,4
ALTINSEHIR,M5,2024-09-08,5,26
ALTINSEHIR,M5,2024-09-08,6,82
ALTINSEHIR,M5,2024-09-08,7,144
ALTINSEHIR,M5,2024-09-08,8,164
ALTINSEHIR,M5,2024-09-08,9,225
ALTINSEHIR,M5,2024-09-08,10,188
ALTINSEHIR,M5,2024-09-08,11,165
ALTINSEHIR,M5,2024-09-08,12,299
ALTINSEHIR,M5,2024-09-08,13,397
ALTINSEHIR,M5,2024-09-08,14,438
ALTINSEHIR,M5,2024-09-08,15,391
ALTINSEHIR,M5,2024-09-08,16,402
ALTINSEHIR,M5,2024-09-08,17,368
ALTINSEHIR,M5,2024-09-08,18,288
ALTINSEHIR,M5,2024-09-08,19,237
