Line,Station,Direction,transition_date,transition_hour,number_of_passenger,RemainingCapacity
M2,Atatürk Oto Sanayi,Yenikapı to Hacıosman,2024-09-01,8,39,137.48
M2,Darüşşafaka,Yenikapı to Hacıosman,2024-09-01,8,89,173.84
M2,Hacıosman,Yenikapı to Hacıosman,2024-09-01,8,395,480.0
M2,Hacıosman,Hacıosman to Yenikapı,2024-09-01,9,321,480.0
M2,Darüşşafaka,Hacıosman to Yenikapı,2024-09-01,9,54,159.0
M2,Atatürk Oto Sanayi,Hacıosman to Yenikapı,2024-09-01,9,60,175.62
M2,Ayazağa-İTÜ,Hacıosman to Yenikapı,2024-09-01,9,0,182.58
M2,Seyrantepe,Hacıosman to Yenikapı,2024-09-01,9,132,248.02
M2,Sanayi Mahallesi,Hacıosman to Yenikapı,2024-09-01,9,128,167.05
M2,4.Levent,Hacıosman to Yenikapı,2024-09-01,9,0,107.9
M2,Levent,Hacıosman to Yenikapı,2024-09-01,9,913,189.76
M2,Gayrettepe,Hacıosman to Yenikapı,2024-09-01,9,342,0.0
M2,Şişli-Mecidiyeköy,Hacıosman to Yenikapı,2024-09-01,9,1334,0.0
M2,Osmanbey,Hacıosman to Yenikapı,2024-09-01,9,434,0.0
M2,Taksim,Hacıosman to Yenikapı,2024-09-01,9,364,0.0
M2,Şişhane,Hacıosman to Yenikapı,2024-09-01,9,236,0.0
M2,Haliç,Hacıosman to Yenikapı,2024-09-01,9,125,0.0
M2,Vezneciler-İstanbul Üniv.,Hacıosman to Yenikapı,2024-09-01,9,0,0.0
M2,Yenikapı,Hacıosman to Yenikapı,2024-09-01,9,1172,480.0
M2,Yenikapı,Yenikapı to Hacıosman,2024-09-01,9,1172,480.0
M2,Vezneciler-İstanbul Üniv.,Yenikapı to Hacıosman,2024-09-01,9,0,0.0
M2,Haliç,Yenikapı to Hacıosman,2024-09-01,9,125,105.6
M2,Şişhane,Yenikapı to Hacıosman,2024-09-01,9,236,62.97
M2,Taksim,Yenikapı to Hacıosman,2024-09-01,9,364,0.0
M2,Osmanbey,Yenikapı to Hacıosman,2024-09-01,9,434,0.0
M2,Şişli-Mecidiyeköy,Yenikapı to Hacıosman,2024-09-01,9,1334,0.0
M2,Gayrettepe,Yenikapı to Hacıosman,2024-09-01,9,342,0.0
M2,Levent,Yenikapı to Hacıosman,2024-09-01,9,913,0.0
M2,4.Levent,Yenikapı to Hacıosman,2024-09-01,9,0,0.0
M2,Sanayi Mahallesi,Yenikapı to Hacıosman,2024-09-01,9,128,105.6
M2,Seyrantepe,Yenikapı to Hacıosman,2024-09-01,9,132,59.97
M2,Ayazağa-İTÜ,Yenikapı to Hacıosman,2024-09-01,9,0,20.38
M2,Atatürk Oto Sanayi,Yenikapı to Hacıosman,2024-09-01,9,60,121.49
M2,Darüşşafaka,Yenikapı to Hacıosman,2024-09-01,9,54,140.36
M2,Hacıosman,Yenikapı to Hacıosman,2024-09-01,9,321,480.0
M2,Hacıosman,Hacıosman to Yenikapı,2024-09-01,10,282,480.0
M2,Darüşşafaka,Hacıosman to Yenikapı,2024-09-01,10,54,198.0
M2,Atatürk Oto Sanayi,Hacıosman to Yenikapı,2024-09-01,10,32,206.04
M2,Ayazağa-İTÜ,Hacıosman to Yenikapı,2024-09-01,10,0,234.31
M2,Seyrantepe,Hacıosman to Yenikapı,2024-09-01,10,44,288.36
M2,Sanayi Mahallesi,Hacıosman to Yenikapı,2024-09-01,10,88,286.52
M2,4.Levent,Hacıosman to Yenikapı,2024-09-01,10,0,241.09
M2,Levent,Hacıosman to Yenikapı,2024-09-01,10,841,293.65
M2,Gayrettepe,Hacıosman to Yenikapı,2024-09-01,10,324,0.0
M2,Şişli-Mecidiyeköy,Hacıosman to Yenikapı,2024-09-01,10,1045,0.0
M2,Osmanbey,Hacıosman to Yenikapı,2024-09-01,10,429,0.0
M2,Taksim,Hacıosman to Yenikapı,2024-09-01,10,484,0.0
M2,Şişhane,Hacıosman to Yenikapı,2024-09-01,10,246,0.0
M2,Haliç,Hacıosman to Yenikapı,2024-09-01,10,140,0.0
M2,Vezneciler-İstanbul Üniv.,Hacıosman to Yenikapı,2024-09-01,10,0,0.0
M2,Yenikapı,Hacıosman to Yenikapı,2024-09-01,10,1252,480.0
M2,Yenikapı,Yenikapı to Hacıosman,2024-09-01,10,1252,480.0
M2,Vezneciler-İstanbul Üniv.,Yenikapı to Hacıosman,2024-09-01,10,0,0.0
M2,Haliç,Yenikapı to Hacıosman,2024-09-01,10,140,105.6
M2,Şişhane,Yenikapı to Hacıosman,2024-09-01,10,246,47.97
M2,Taksim,Yenikapı to Hacıosman,2024-09-01,10,484,0.0
M2,Osmanbey,Yenikapı to Hacıosman,2024-09-01,10,429,0.0
M2,Şişli-Mecidiyeköy,Yenikapı to Hacıosman,2024-09-01,10,1045,0.0
M2,Gayrettepe,Yenikapı to Hacıosman,2024-09-01,10,324,0.0
M2,Levent,Yenikapı to Hacıosman,2024-09-01,10,841,0.0
M2,4.Levent,Yenikapı to Hacıosman,2024-09-01,10,0,0.0
M2,Sanayi Mahallesi,Yenikapı to Hacıosman,2024-09-01,10,88,105.6
M2,Seyrantepe,Yenikapı to Hacıosman,2024-09-01,10,44,99.97
M2,Ayazağa-İTÜ,Yenikapı to Hacıosman,2024-09-01,10,0,139.58
M2,Atatürk Oto Sanayi,Yenikapı to Hacıosman,2024-09-01,10,32,214.47
M2,Darüşşafaka,Yenikapı to Hacıosman,2024-09-01,10,54,240.89
M2,Hacıosman,Yenikapı to Hacıosman,2024-09-01,10,282,480.0
M2,Hacıosman,Hacıosman to Yenikapı,2024-09-01,11,288,480.0
M2,Darüşşafaka,Hacıosman to Yenikapı,2024-09-01,11,68,192.0
M2,Atatürk Oto Sanayi,Hacıosman to Yenikapı,2024-09-01,11,61,187.36
M2,Ayazağa-İTÜ,Hacıosman to Yenikapı,2024-09-01,11,0,190.74
M2,Seyrantepe,Hacıosman to Yenikapı,2024-09-01,11,105,254.38
M2,Sanayi Mahallesi,Hacıosman to Yenikapı,2024-09-01,11,109,199.01
M2,4.Levent,Hacıosman to Yenikapı,2024-09-01,11,0,151.83
M2,Levent,Hacıosman to Yenikapı,2024-09-01,11,914,224.03
M2,Gayrettepe,Hacıosman to Yenikapı,2024-09-01,11,471,0.0
M2,Şişli-Mecidiyeköy,Hacıosman to Yenikapı,2024-09-01,11,1277,0.0
M2,Osmanbey,Hacıosman to Yenikapı,2024-09-01,11,559,0.0
M2,Taksim,Hacıosman to Yenikapı,2024-09-01,11,584,0.0
M2,Şişhane,Hacıosman to Yenikapı,2024-09-01,11,290,0.0
M2,Haliç,Hacıosman to Yenikapı,2024-09-01,11,136,0.0
M2,Vezneciler-İstanbul Üniv.,Hacıosman to Yenikapı,2024-09-01,11,0,0.0
M2,Yenikapı,Hacıosman to Yenikapı,2024-09-01,11,1392,480.0
M2,Yenikapı,Yenikapı to Hacıosman,2024-09-01,11,1392,480.0
M2,Vezneciler-İstanbul Üniv.,Yenikapı to Hacıosman,2024-09-01,11,0,0.0
M2,Haliç,Yenikapı to Hacıosman,2024-09-01,11,136,105.6
M2,Şişhane,Yenikapı to Hacıosman,2024-09-01,11,290,51.97
M2,Taksim,Yenikapı to Hacıosman,2024-09-01,11,584,0.0
M2,Osmanbey,Yenikapı to Hacıosman,2024-09-01,11,559,0.0
M2,Şişli-Mecidiyeköy,Yenikapı to Hacıosman,2024-09-01,11,1277,0.0
M2,Gayrettepe,Yenikapı to Hacıosman,2024-09-01,11,471,0.0
M2,Levent,Yenikapı to Hacıosman,2024-09-01,11,914,0.0
M2,4.Levent,Yenikapı to Hacıosman,2024-09-01,11,0,0.0
M2,Sanayi Mahallesi,Yenikapı to Hacıosman,2024-09-01,11,109,105.6
M2,Seyrantepe,Yenikapı to Hacıosman,2024-09-01,11,105,78.97
M2,Ayazağa-İTÜ,Yenikapı to Hacıosman,2024-09-01,11,0,62.2
M2,Atatürk Oto Sanayi,Yenikapı to Hacıosman,2024-09-01,11,61,154.11
M2,Darüşşafaka,Yenikapı to Hacıosman,2024-09-01,11,68,164.81
M2,Hacıosman,Yenikapı to Hacıosman,2024-09-01,11,288,480.0
M2,Hacıosman,Hacıosman to Yenikapı,2024-09-01,12,522,480.0
M2,Darüşşafaka,Hacıosman to Yenikapı,2024-09-01,12,142,0.0
M2,Atatürk Oto Sanayi,Hacıosman to Yenikapı,2024-09-01,12,78,0.0
M2,Ayazağa-İTÜ,Hacıosman to Yenikapı,2024-09-01,12,0,27.6
M2,Seyrantepe,Hacıosman to Yenikapı,2024-09-01,12,142,127.13
M2,Sanayi Mahallesi,Hacıosman to Yenikapı,2024-09-01,12,168,62.76
M2,4.Levent,Hacıosman to Yenikapı,2024-09-01,12,0,0.0
M2,Levent,Hacıosman to Yenikapı,2024-09-01,12,1657,105.6
M2,Gayrettepe,Hacıosman to Yenikapı,2024-09-01,12,620,0.0
M2,Şişli-Mecidiyeköy,Hacıosman to Yenikapı,2024-09-01,12,1680,0.0
M2,Osmanbey,Hacıosman to Yenikapı,2024-09-01,12,791,0.0
M2,Taksim,Hacıosman to Yenikapı,2024-09-01,12,674,0.0
M2,Şişhane,Hacıosman to Yenikapı,2024-09-01,12,398,0.0
M2,Haliç,Hacıosman to Yenikapı,2024-09-01,12,234,0.0
M2,Vezneciler-İstanbul Üniv.,Hacıosman to Yenikapı,2024-09-01,12,0,0.0
M2,Yenikapı,Hacıosman to Yenikapı,2024-09-01,12,1875,480.0
